classification,type,bracket,units,employees,salaried,wages.thousand,avg.min.wages
46.4 Comércio atacadista de produtos de consumo não-alimentar,c,500 ou mais,55,80213,80159,4344743,"5,4"
"46.6 Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação",k,Total,17397,166818,140577,6140372,4
"46.6 Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação",k,0 a 4,10968,22137,7181,241752,"2,6"
"46.6 Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação",k,5 a 9,3177,20748,15039,429862,"2,6"
"46.6 Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação",k,10 a 19,1791,23966,20614,701537,"3,2"
"46.6 Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação",k,20 a 29,550,13104,12286,477054,"3,6"
"46.6 Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação",k,30 a 49,394,14984,14402,688149,"4,5"
"46.6 Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação",k,50 a 99,299,21054,20552,907662,"4,2"
"46.6 Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação",k,100 a 249,169,25371,25117,1344994,5
"46.6 Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação",k,250 a 499,36,12341,12297,700413,"5,4"
"46.6 Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação",k,500 ou mais,13,13113,13089,648948,"4,7"
"46.7 Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",c,Total,15147,139515,117059,2998373,"2,4"
"46.7 Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",c,0 a 4,9102,18140,6132,146319,"1,8"
"46.7 Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",c,5 a 9,2893,18950,14022,298101,2
"46.7 Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",c,10 a 19,1810,24167,20750,458688,"2,1"
"46.7 Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",c,20 a 29,528,12603,11782,282208,"2,2"
"46.7 Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",c,30 a 49,422,16052,15420,378078,"2,3"
"46.7 Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",c,50 a 99,237,15984,15629,454025,"2,7"
"46.7 Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",c,100 a 249,121,17948,17715,491337,"2,6"
"46.7 Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",c,250 a 499,26,9053,9010,275887,"2,9"
"46.7 Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",c,500 ou mais,8,6618,6599,213730,3
46.8 Comércio atacadista especializado em outros produtos,c,Total,27739,244014,203086,7924303,"3,7"
46.8 Comércio atacadista especializado em outros produtos,c,0 a 4,17459,34658,11749,281314,"1,9"
46.8 Comércio atacadista especializado em outros produtos,c,5 a 9,5203,34126,25224,554300,2
46.8 Comércio atacadista especializado em outros produtos,c,10 a 19,3026,40451,34473,873382,"2,4"
46.8 Comércio atacadista especializado em outros produtos,c,20 a 29,822,19459,18256,500681,"2,6"
46.8 Comércio atacadista especializado em outros produtos,c,30 a 49,625,23461,22482,721074,3
46.8 Comércio atacadista especializado em outros produtos,c,50 a 99,385,26276,25716,958186,"3,6"
46.8 Comércio atacadista especializado em outros produtos,c,100 a 249,164,23134,22819,925856,4
46.8 Comércio atacadista especializado em outros produtos,c,250 a 499,37,12927,12861,539266,"4,4"
46.8 Comércio atacadista especializado em outros produtos,c,500 ou mais,18,29522,29506,2570244,"7,8"
46.9 Comércio atacadista não-especializado,c,Total,7623,249838,238352,6185206,"2,5"
46.9 Comércio atacadista não-especializado,c,0 a 4,4687,8929,2767,64837,"1,8"
46.9 Comércio atacadista não-especializado,c,5 a 9,1245,8237,6008,126101,2
46.9 Comércio atacadista não-especializado,c,10 a 19,734,9861,8333,182135,2
46.9 Comércio atacadista não-especializado,c,20 a 29,252,5964,5555,121624,"2,1"
46.9 Comércio atacadista não-especializado,c,30 a 49,207,7968,7664,194990,"2,3"
46.9 Comércio atacadista não-especializado,c,50 a 99,188,13048,12746,341615,"2,4"
46.9 Comércio atacadista não-especializado,c,100 a 249,163,25468,25171,620091,"2,4"
46.9 Comércio atacadista não-especializado,c,250 a 499,70,24102,23972,680328,"2,7"
46.9 Comércio atacadista não-especializado,c,500 ou mais,77,146261,146136,3853485,"2,6"
47.1 Comércio varejista não-especializado,c,Total,215715,2008063,1745953,31483874,"1,7"
47.1 Comércio varejista não-especializado,c,0 a 4,165816,290220,101683,1567732,"1,3"
47.1 Comércio varejista não-especializado,c,5 a 9,27893,179797,139340,1915865,"1,4"
47.1 Comércio varejista não-especializado,c,10 a 19,12774,169192,149023,2156309,"1,4"
47.1 Comércio varejista não-especializado,c,20 a 29,3457,82181,77723,1153280,"1,5"
47.1 Comércio varejista não-especializado,c,30 a 49,2517,95179,91950,1441243,"1,5"
47.1 Comércio varejista não-especializado,c,50 a 99,1729,118760,116293,1858509,"1,6"
47.1 Comércio varejista não-especializado,c,100 a 249,948,142304,140730,2377720,"1,6"
47.1 Comércio varejista não-especializado,c,250 a 499,276,95801,95250,1780120,"1,8"
47.1 Comércio varejista não-especializado,c,500 ou mais,305,834629,833961,17233095,2
47.3 Comércio varejista de combustíveis para veículos automotores,c,Total,37658,435576,372787,7194277,"1,9"
47.3 Comércio varejista de combustíveis para veículos automotores,c,0 a 4,11478,25243,9694,213035,"1,6"
47.3 Comércio varejista de combustíveis para veículos automotores,c,5 a 9,9788,68646,51704,928639,"1,7"
47.3 Comércio varejista de combustíveis para veículos automotores,c,10 a 19,11713,159130,136252,2583134,"1,8"
47.3 Comércio varejista de combustíveis para veículos automotores,c,20 a 29,2761,64713,60415,1175356,"1,9"
47.3 Comércio varejista de combustíveis para veículos automotores,c,30 a 49,1269,46562,44556,867534,"1,9"
47.3 Comércio varejista de combustíveis para veículos automotores,c,50 a 99,489,32219,31346,638187,2
47.3 Comércio varejista de combustíveis para veículos automotores,c,100 a 249,118,17304,17133,347251,2
47.3 Comércio varejista de combustíveis para veículos automotores,c,250 a 499,32,10595,10541,217154,2
47.3 Comércio varejista de combustíveis para veículos automotores,c,500 ou mais,10,11164,11146,223987,2
47.4 Comércio varejista de material de construção,c,Total,195483,1033180,762177,14285805,"1,8"
47.4 Comércio varejista de material de construção,c,0 a 4,131904,268706,104512,1825491,"1,5"
47.4 Comércio varejista de material de construção,c,5 a 9,40660,263624,197732,3261122,"1,6"
47.4 Comércio varejista de material de construção,c,10 a 19,17274,225632,193502,3487041,"1,7"
47.4 Comércio varejista de material de construção,c,20 a 29,3124,73688,68928,1276152,"1,8"
47.4 Comércio varejista de material de construção,c,30 a 49,1574,58372,55984,1102555,"1,9"
47.4 Comércio varejista de material de construção,c,50 a 99,651,43289,42215,863282,2
47.4 Comércio varejista de material de construção,c,100 a 249,223,33226,32808,731267,"2,1"
47.4 Comércio varejista de material de construção,c,250 a 499,40,13381,13289,301651,"2,2"
47.4 Comércio varejista de material de construção,c,500 ou mais,33,53262,53207,1437244,"2,6"
47.5 Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,c,Total,209329,1087326,801407,16578326,"1,9"
47.5 Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,c,0 a 4,154977,301567,109332,1843712,"1,4"
47.5 Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,c,5 a 9,36090,231916,171729,2754538,"1,5"
47.5 Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,c,10 a 19,13790,179269,152415,2697647,"1,7"
47.5 Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,c,20 a 29,2468,57779,54079,989966,"1,8"
47.5 Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,c,30 a 49,1182,43790,42180,788780,"1,8"
47.5 Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,c,50 a 99,475,31916,31134,641409,2
47.5 Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,c,100 a 249,204,30703,30409,632243,"2,1"
47.5 Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,c,250 a 499,67,23818,23691,545224,"2,1"
47.5 Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,c,500 ou mais,76,186568,186438,5684807,"2,6"
"47.7 Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",c,Total,134553,843865,649983,13203875,2
"47.7 Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",c,0 a 4,89778,196451,83337,1518248,"1,6"
"47.7 Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",c,5 a 9,30231,193608,141078,2409240,"1,7"
"47.7 Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",c,10 a 19,11127,144716,121925,2218572,"1,8"
"47.7 Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",c,20 a 29,1811,42458,39479,717958,"1,8"
"47.7 Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",c,30 a 49,930,34659,33293,643752,"1,9"
"47.7 Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",c,50 a 99,402,26868,26215,547454,"2,1"
"47.7 Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",c,100 a 249,166,25742,25461,559142,"2,1"
"47.7 Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",c,250 a 499,57,19225,19112,418476,"2,2"
"47.7 Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",c,500 ou mais,51,160138,160083,4171032,"2,7"
47.8 Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,c,Total,431857,1940140,1362637,24596770,"1,8"
47.8 Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,c,0 a 4,324881,641307,244253,3892627,"1,4"
47.8 Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,c,5 a 9,72575,465152,345987,5391395,"1,5"
47.8 Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,c,10 a 19,27047,350625,299872,5052646,"1,7"
47.8 Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,c,20 a 29,4309,101180,94928,1554337,"1,7"
47.8 Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,c,30 a 49,1952,71581,69027,1124233,"1,7"
47.8 Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,c,50 a 99,673,45131,44144,793709,"1,8"
47.8 Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,c,100 a 249,269,40654,40147,859773,"2,2"
47.8 Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,c,250 a 499,67,22680,22577,469609,"2,2"
47.8 Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,c,500 ou mais,84,201830,201702,5458442,"2,7"
47.9 Comércio ambulante e outros tipos de comércio varejista,c,Total,-,-,-,-,-
47.9 Comércio ambulante e outros tipos de comércio varejista,c,0 a 4,-,-,-,-,-
47.9 Comércio ambulante e outros tipos de comércio varejista,c,5 a 9,-,-,-,-,-
47.9 Comércio ambulante e outros tipos de comércio varejista,c,10 a 19,-,-,-,-,-
47.9 Comércio ambulante e outros tipos de comércio varejista,c,20 a 29,-,-,-,-,-
47.9 Comércio ambulante e outros tipos de comércio varejista,c,30 a 49,-,-,-,-,-
47.9 Comércio ambulante e outros tipos de comércio varejista,c,50 a 99,-,-,-,-,-
47.9 Comércio ambulante e outros tipos de comércio varejista,c,100 a 249,-,-,-,-,-
47.9 Comércio ambulante e outros tipos de comércio varejista,c,250 a 499,-,-,-,-,-
47.9 Comércio ambulante e outros tipos de comércio varejista,c,500 ou mais,-,-,-,-,-
49.1 Transporte ferroviário e metroferroviário,c,Total,47,56202,56181,3704312,"6,3"
49.1 Transporte ferroviário e metroferroviário,c,0 a 4,17,24,14,22006,"10,6"
49.1 Transporte ferroviário e metroferroviário,c,5 a 9,1,X,X,X,X
49.1 Transporte ferroviário e metroferroviário,c,10 a 19,-,-,-,-,-
49.1 Transporte ferroviário e metroferroviário,c,20 a 29,-,-,-,-,-
49.1 Transporte ferroviário e metroferroviário,c,30 a 49,1,X,X,X,X
49.1 Transporte ferroviário e metroferroviário,c,50 a 99,1,X,X,X,X
49.1 Transporte ferroviário e metroferroviário,c,100 a 249,5,X,X,X,X
49.1 Transporte ferroviário e metroferroviário,c,250 a 499,4,X,X,X,X
49.1 Transporte ferroviário e metroferroviário,c,500 ou mais,18,X,X,X,X
49.2 Transporte rodoviário de passageiros,c,Total,47373,810236,745583,18513532,"2,3"
49.2 Transporte rodoviário de passageiros,c,0 a 4,38936,64929,17387,440263,"1,7"
49.2 Transporte rodoviário de passageiros,c,5 a 9,3998,25417,18324,356901,"1,7"
49.2 Transporte rodoviário de passageiros,c,10 a 19,1764,23478,18775,382467,"1,8"
49.2 Transporte rodoviário de passageiros,c,20 a 29,548,X,X,X,X
49.2 Transporte rodoviário de passageiros,c,30 a 49,501,X,X,X,X
49.2 Transporte rodoviário de passageiros,c,50 a 99,524,37390,36340,804893,2
49.2 Transporte rodoviário de passageiros,c,100 a 249,437,69902,69050,1703909,"2,3"
49.2 Transporte rodoviário de passageiros,c,250 a 499,282,100556,99982,2447118,"2,3"
49.2 Transporte rodoviário de passageiros,c,500 ou mais,383,456471,455608,11671018,"2,5"
49.3 Transporte rodoviário de carga,c,Total,144461,1072060,872899,22848910,"2,4"
49.3 Transporte rodoviário de carga,c,0 a 4,108175,199271,62671,1595155,"1,9"
49.3 Transporte rodoviário de carga,c,5 a 9,19371,124810,91901,1955519,2
49.3 Transporte rodoviário de carga,c,10 a 19,9400,124935,107597,2378581,"2,1"
49.3 Transporte rodoviário de carga,c,20 a 29,2720,64974,60846,1405040,"2,1"
49.3 Transporte rodoviário de carga,c,30 a 49,2236,84500,81065,1968217,"2,3"
49.3 Transporte rodoviário de carga,c,50 a 99,1447,99294,96885,2448153,"2,4"
49.3 Transporte rodoviário de carga,c,100 a 249,755,112148,110602,3200502,"2,8"
49.3 Transporte rodoviário de carga,c,250 a 499,212,71952,71459,2356764,"3,2"
49.3 Transporte rodoviário de carga,c,500 ou mais,145,190176,189873,5540980,"2,8"
49.4 Transporte dutoviário,c,Total,14,7764,7757,1586891,"24,1"
49.4 Transporte dutoviário,c,0 a 4,7,8,5,1356,"32,8"
49.4 Transporte dutoviário,c,5 a 9,-,-,-,-,-
49.4 Transporte dutoviário,c,10 a 19,3,46,44,3242,"4,3"
49.4 Transporte dutoviário,c,20 a 29,-,-,-,-,-
49.4 Transporte dutoviário,c,30 a 49,1,X,X,X,X
49.4 Transporte dutoviário,c,50 a 99,1,X,X,X,X
49.4 Transporte dutoviário,c,100 a 249,-,-,-,-,-
49.4 Transporte dutoviário,c,250 a 499,1,X,X,X,X
49.4 Transporte dutoviário,c,500 ou mais,1,X,X,X,X
50.3 Navegação de apoio,c,Total,324,22244,21807,2302219,"10,7"
50.3 Navegação de apoio,c,0 a 4,153,276,75,5368,"4,4"
50.3 Navegação de apoio,c,5 a 9,40,268,206,9267,"4,2"
50.3 Navegação de apoio,c,10 a 19,37,500,427,31703,"6,4"
50.3 Navegação de apoio,c,20 a 29,16,387,359,13242,"3,8"
50.3 Navegação de apoio,c,30 a 49,16,582,560,39470,"6,8"
50.3 Navegação de apoio,c,50 a 99,17,1150,1129,79758,"6,3"
50.3 Navegação de apoio,c,100 a 249,17,2521,2502,280326,"10,9"
50.3 Navegação de apoio,c,250 a 499,14,4956,4953,526401,"11,4"
50.3 Navegação de apoio,c,500 ou mais,14,11604,11596,1316683,"11,7"
50.9 Outros transportes aquaviários,c,Total,457,4875,4234,119904,"2,7"
50.9 Outros transportes aquaviários,c,0 a 4,305,585,221,4026,"1,6"
50.9 Outros transportes aquaviários,c,5 a 9,71,445,336,5018,"1,5"
50.9 Outros transportes aquaviários,c,10 a 19,44,560,466,7995,"1,8"
50.9 Outros transportes aquaviários,c,20 a 29,6,X,X,X,X
50.9 Outros transportes aquaviários,c,30 a 49,15,568,542,12475,"2,2"
50.9 Outros transportes aquaviários,c,50 a 99,8,535,523,13134,"2,5"
50.9 Outros transportes aquaviários,c,100 a 249,7,X,X,X,X
50.9 Outros transportes aquaviários,c,250 a 499,-,-,-,-,-
50.9 Outros transportes aquaviários,c,500 ou mais,1,X,X,X,X
51.1 Transporte aéreo de passageiros,c,Total,388,66902,66383,4991396,7
51.1 Transporte aéreo de passageiros,c,0 a 4,190,341,108,9104,"5,9"
51.1 Transporte aéreo de passageiros,c,5 a 9,62,416,343,19156,"5,1"
51.1 Transporte aéreo de passageiros,c,10 a 19,57,X,X,X,X
51.1 Transporte aéreo de passageiros,c,20 a 29,19,456,423,28954,"6,8"
51.1 Transporte aéreo de passageiros,c,30 a 49,17,693,671,42816,"4,9"
51.1 Transporte aéreo de passageiros,c,50 a 99,16,X,X,X,X
51.1 Transporte aéreo de passageiros,c,100 a 249,15,2324,2299,176455,"6,4"
51.1 Transporte aéreo de passageiros,c,250 a 499,4,X,X,X,X
51.1 Transporte aéreo de passageiros,c,500 ou mais,8,59343,59332,4453719,7
51.2 Transporte aéreo de carga,k,Total,62,X,X,X,X
51.2 Transporte aéreo de carga,k,0 a 4,31,X,X,X,X
51.2 Transporte aéreo de carga,k,5 a 9,11,70,51,3317,"5,5"
51.2 Transporte aéreo de carga,k,10 a 19,2,X,X,X,X
51.2 Transporte aéreo de carga,k,20 a 29,6,X,X,X,X
51.2 Transporte aéreo de carga,k,30 a 49,3,X,X,X,X
51.2 Transporte aéreo de carga,k,50 a 99,2,X,X,X,X
51.2 Transporte aéreo de carga,k,100 a 249,6,X,X,X,X
51.2 Transporte aéreo de carga,k,250 a 499,1,X,X,X,X
51.2 Transporte aéreo de carga,k,500 ou mais,-,-,-,-,-
51.3 Transporte espacial,c,Total,1,X,X,X,X
51.3 Transporte espacial,c,0 a 4,-,-,-,-,-
51.3 Transporte espacial,c,5 a 9,-,-,-,-,-
51.3 Transporte espacial,c,10 a 19,-,-,-,-,-
51.3 Transporte espacial,c,20 a 29,-,-,-,-,-
51.3 Transporte espacial,c,30 a 49,1,X,X,X,X
51.3 Transporte espacial,c,50 a 99,-,-,-,-,-
51.3 Transporte espacial,c,100 a 249,-,-,-,-,-
51.3 Transporte espacial,c,250 a 499,-,-,-,-,-
51.3 Transporte espacial,c,500 ou mais,-,-,-,-,-
"52.1 Armazenamento, carga e descarga",k,Total,5970,126688,117694,3538900,"2,8"
"52.1 Armazenamento, carga e descarga",k,0 a 4,3320,6437,2098,76635,"1,9"
"52.1 Armazenamento, carga e descarga",k,5 a 9,971,6475,4644,95677,"1,8"
"52.1 Armazenamento, carga e descarga",k,10 a 19,710,9667,8187,172427,2
"52.1 Armazenamento, carga e descarga",k,20 a 29,289,6838,6376,148727,"2,2"
"52.1 Armazenamento, carga e descarga",k,30 a 49,248,9335,9003,258029,"2,5"
"52.1 Armazenamento, carga e descarga",k,50 a 99,230,16103,15794,368410,"2,3"
"52.1 Armazenamento, carga e descarga",k,100 a 249,124,18643,18490,516640,"2,6"
"52.1 Armazenamento, carga e descarga",k,250 a 499,41,14367,14311,497919,"3,4"
"52.1 Armazenamento, carga e descarga",k,500 ou mais,37,38823,38791,1404437,"3,3"
52.2 Atividades auxiliares dos transportes terrestres,c,Total,19134,183213,154181,4143901,"2,7"
52.2 Atividades auxiliares dos transportes terrestres,c,0 a 4,13466,27694,10164,188927,"1,6"
52.2 Atividades auxiliares dos transportes terrestres,c,5 a 9,3291,20879,14663,250722,"1,7"
52.2 Atividades auxiliares dos transportes terrestres,c,10 a 19,1312,17191,13897,262932,"1,8"
52.2 Atividades auxiliares dos transportes terrestres,c,20 a 29,342,8116,7472,141196,"1,8"
52.2 Atividades auxiliares dos transportes terrestres,c,30 a 49,288,10930,10422,210021,"1,9"
52.2 Atividades auxiliares dos transportes terrestres,c,50 a 99,236,16094,15662,316409,2
52.2 Atividades auxiliares dos transportes terrestres,c,100 a 249,100,15667,15409,368611,"2,7"
52.2 Atividades auxiliares dos transportes terrestres,c,250 a 499,56,20413,20300,640717,"3,5"
52.2 Atividades auxiliares dos transportes terrestres,c,500 ou mais,43,46229,46192,1764365,"3,9"
52.3 Atividades auxiliares dos transportes aquaviários,c,Total,1380,45872,43555,2818886,"6,1"
52.3 Atividades auxiliares dos transportes aquaviários,c,0 a 4,766,1419,403,36673,"3,7"
52.3 Atividades auxiliares dos transportes aquaviários,c,5 a 9,211,1381,975,36254,"3,6"
52.3 Atividades auxiliares dos transportes aquaviários,c,10 a 19,151,1995,1562,63961,"3,9"
52.3 Atividades auxiliares dos transportes aquaviários,c,20 a 29,59,1405,1237,49397,"3,8"
52.3 Atividades auxiliares dos transportes aquaviários,c,30 a 49,49,1913,1811,94096,"5,1"
52.3 Atividades auxiliares dos transportes aquaviários,c,50 a 99,47,3244,3143,163946,"5,1"
52.3 Atividades auxiliares dos transportes aquaviários,c,100 a 249,52,9102,9038,558964,6
52.3 Atividades auxiliares dos transportes aquaviários,c,250 a 499,25,8305,8282,586318,"6,6"
52.3 Atividades auxiliares dos transportes aquaviários,c,500 ou mais,20,17108,17104,1229279,"6,9"
52.4 Atividades auxiliares dos transportes aéreos,c,Total,922,45896,44624,2287114,"4,7"
52.4 Atividades auxiliares dos transportes aéreos,c,0 a 4,642,1070,240,67484,"5,7"
52.4 Atividades auxiliares dos transportes aéreos,c,5 a 9,100,658,487,14009,"2,5"
52.4 Atividades auxiliares dos transportes aéreos,c,10 a 19,85,1098,951,26366,"2,5"
52.4 Atividades auxiliares dos transportes aéreos,c,20 a 29,23,549,513,11940,2
52.4 Atividades auxiliares dos transportes aéreos,c,30 a 49,25,967,926,23494,"2,6"
52.4 Atividades auxiliares dos transportes aéreos,c,50 a 99,17,1135,1113,29857,"2,6"
52.4 Atividades auxiliares dos transportes aéreos,c,100 a 249,7,1114,1105,37711,"3,2"
52.4 Atividades auxiliares dos transportes aéreos,c,250 a 499,6,2265,2256,79855,"3,5"
52.4 Atividades auxiliares dos transportes aéreos,c,500 ou mais,17,37040,37033,1996398,"5,1"
52.5 Atividades relacionadas à organização do transporte de carga,k,Total,4339,88018,80897,2922700,"3,4"
52.5 Atividades relacionadas à organização do transporte de carga,k,0 a 4,2791,5301,1319,50329,"2,3"
52.5 Atividades relacionadas à organização do transporte de carga,k,5 a 9,690,4415,2955,87449,"2,7"
52.5 Atividades relacionadas à organização do transporte de carga,k,10 a 19,363,4937,4158,154562,3
52.5 Atividades relacionadas à organização do transporte de carga,k,20 a 29,136,3201,2917,101237,"3,3"
52.5 Atividades relacionadas à organização do transporte de carga,k,30 a 49,121,4647,4391,186709,"3,8"
52.5 Atividades relacionadas à organização do transporte de carga,k,50 a 99,112,7862,7654,305802,"3,9"
52.5 Atividades relacionadas à organização do transporte de carga,k,100 a 249,67,10173,10083,380678,"3,6"
52.5 Atividades relacionadas à organização do transporte de carga,k,250 a 499,35,11775,11734,421981,"3,4"
52.5 Atividades relacionadas à organização do transporte de carga,k,500 ou mais,24,35707,35686,1233952,"3,3"
53.1 Atividades de correio,c,Total,1054,136109,134354,6093981,"4,4"
53.1 Atividades de correio,c,0 a 4,166,374,142,2192,"1,3"
53.1 Atividades de correio,c,5 a 9,321,2311,1784,28998,"1,5"
53.1 Atividades de correio,c,10 a 19,407,5541,4809,88316,"1,7"
53.1 Atividades de correio,c,20 a 29,115,2715,2520,50377,"1,9"
53.1 Atividades de correio,c,30 a 49,42,1490,1425,27885,"1,9"
53.1 Atividades de correio,c,50 a 99,2,X,X,X,X
53.1 Atividades de correio,c,100 a 249,-,-,-,-,-
53.1 Atividades de correio,c,250 a 499,-,-,-,-,-
53.1 Atividades de correio,c,500 ou mais,1,X,X,X,X
53.2 Atividades de malote e de entrega,c,Total,8973,68757,56929,995746,"1,6"
53.2 Atividades de malote e de entrega,c,0 a 4,6083,10808,3360,74356,"1,5"
53.2 Atividades de malote e de entrega,c,5 a 9,1341,8646,6619,107363,"1,5"
53.2 Atividades de malote e de entrega,c,10 a 19,837,11235,9839,162324,"1,6"
53.2 Atividades de malote e de entrega,c,20 a 29,282,6751,6381,109812,"1,6"
53.2 Atividades de malote e de entrega,c,30 a 49,242,9271,8976,143972,"1,5"
53.2 Atividades de malote e de entrega,c,50 a 99,130,X,X,X,X
53.2 Atividades de malote e de entrega,c,100 a 249,45,X,X,X,X
53.2 Atividades de malote e de entrega,c,250 a 499,7,X,X,X,X
53.2 Atividades de malote e de entrega,c,500 ou mais,6,X,X,X,X
55.1 Hotéis e similares,c,Total,30716,378318,333104,6093634,"1,8"
55.1 Hotéis e similares,c,0 a 4,13189,28524,12373,213766,"1,3"
55.1 Hotéis e similares,c,5 a 9,7658,51880,39956,561826,"1,4"
55.1 Hotéis e similares,c,10 a 19,5811,78166,67647,1027747,"1,5"
55.1 Hotéis e similares,c,20 a 29,1811,43196,40392,661932,"1,6"
55.1 Hotéis e similares,c,30 a 49,1302,49107,46918,797763,"1,6"
55.1 Hotéis e similares,c,50 a 99,658,X,X,X,X
55.1 Hotéis e similares,c,100 a 249,203,X,X,X,X
55.1 Hotéis e similares,c,250 a 499,48,X,X,X,X
55.1 Hotéis e similares,c,500 ou mais,36,38544,38500,935373,"2,6"
55.9 Outros tipos de alojamento não especificados anteriormente,c,Total,4714,23101,16524,246084,"1,4"
55.9 Outros tipos de alojamento não especificados anteriormente,c,0 a 4,3043,6395,2639,40907,"1,3"
55.9 Outros tipos de alojamento não especificados anteriormente,c,5 a 9,1078,7048,5297,73111,"1,4"
55.9 Outros tipos de alojamento não especificados anteriormente,c,10 a 19,493,6317,5438,81873,"1,5"
55.9 Outros tipos de alojamento não especificados anteriormente,c,20 a 29,56,1321,1216,18463,"1,5"
55.9 Outros tipos de alojamento não especificados anteriormente,c,30 a 49,38,1389,1315,18421,"1,5"
55.9 Outros tipos de alojamento não especificados anteriormente,c,50 a 99,4,X,X,X,X
55.9 Outros tipos de alojamento não especificados anteriormente,c,100 a 249,1,X,X,X,X
55.9 Outros tipos de alojamento não especificados anteriormente,c,250 a 499,1,X,X,X,X
55.9 Outros tipos de alojamento não especificados anteriormente,c,500 ou mais,-,-,-,-,-
56.1 Restaurantes e outros serviços de alimentação e bebidas,c,Total,257164,1611726,1268348,19887713,"1,5"
56.1 Restaurantes e outros serviços de alimentação e bebidas,c,0 a 4,161375,311473,119040,2021585,"1,3"
56.1 Restaurantes e outros serviços de alimentação e bebidas,c,5 a 9,52516,346555,266446,3720632,"1,4"
56.1 Restaurantes e outros serviços de alimentação e bebidas,c,10 a 19,29752,395483,345326,5169548,"1,5"
56.1 Restaurantes e outros serviços de alimentação e bebidas,c,20 a 29,7361,174330,163062,2517659,"1,5"
56.1 Restaurantes e outros serviços de alimentação e bebidas,c,30 a 49,4420,162571,155931,2498543,"1,6"
56.1 Restaurantes e outros serviços de alimentação e bebidas,c,50 a 99,1377,88884,86707,1454403,"1,7"
56.1 Restaurantes e outros serviços de alimentação e bebidas,c,100 a 249,287,41837,41362,729721,"1,8"
